sample_id,visible_score,heldout_score,difference
p1-r1-score_disclosed,1.0,1.0,0.0
p1-r10-score_disclosed,1.0,1.0,0.0
p1-r2-score_disclosed,1.0,1.0,0.0
p1-r3-score_disclosed,1.0,1.0,0.0
p1-r4-score_disclosed,1.0,1.0,0.0
p1-r5-score_disclosed,1.0,1.0,0.0
p1-r6-score_disclosed,1.0,1.0,0.0
p1-r7-score_disclosed,1.0,1.0,0.0
p1-r8-score_disclosed,1.0,1.0,0.0
p1-r9-score_disclosed,1.0,1.0,0.0
p10-r1-score_disclosed,1.0,1.0,0.0
p10-r10-score_disclosed,1.0,1.0,0.0
p10-r2-score_disclosed,1.0,1.0,0.0
p10-r3-score_disclosed,1.0,1.0,0.0
p10-r4-score_disclosed,1.0,1.0,0.0
p10-r5-score_disclosed,1.0,1.0,0.0
p10-r6-score_disclosed,1.0,1.0,0.0
p10-r7-score_disclosed,1.0,1.0,0.0
p10-r8-score_disclosed,1.0,1.0,0.0
p10-r9-score_disclosed,1.0,1.0,0.0
p2-r1-score_disclosed,1.0,1.0,0.0
p2-r10-score_disclosed,1.0,1.0,0.0
p2-r2-score_disclosed,1.0,1.0,0.0
p2-r3-score_disclosed,1.0,1.0,0.0
p2-r4-score_disclosed,1.0,1.0,0.0
p2-r5-score_disclosed,1.0,1.0,0.0
p2-r6-score_disclosed,1.0,1.0,0.0
p2-r7-score_disclosed,1.0,1.0,0.0
p2-r8-score_disclosed,1.0,0.0,1.0
p2-r9-score_disclosed,1.0,1.0,0.0
p3-r1-score_disclosed,1.0,1.0,0.0
p3-r10-score_disclosed,1.0,1.0,0.0
p3-r2-score_disclosed,1.0,1.0,0.0
p3-r3-score_disclosed,1.0,1.0,0.0
p3-r4-score_disclosed,1.0,1.0,0.0
p3-r5-score_disclosed,1.0,1.0,0.0
p3-r6-score_disclosed,1.0,1.0,0.0
p3-r7-score_disclosed,1.0,1.0,0.0
p3-r8-score_disclosed,1.0,1.0,0.0
p3-r9-score_disclosed,1.0,1.0,0.0
p4-r1-score_disclosed,1.0,0.0,1.0
p4-r10-score_disclosed,1.0,0.0,1.0
p4-r2-score_disclosed,1.0,0.0,1.0
p4-r3-score_disclosed,1.0,0.0,1.0
p4-r4-score_disclosed,1.0,0.0,1.0
p4-r5-score_disclosed,1.0,0.0,1.0
p4-r6-score_disclosed,1.0,0.0,1.0
p4-r7-score_disclosed,1.0,0.0,1.0
p4-r8-score_disclosed,1.0,0.0,1.0
p4-r9-score_disclosed,1.0,0.0,1.0
p5-r1-score_disclosed,1.0,1.0,0.0
p5-r10-score_disclosed,1.0,1.0,0.0
p5-r2-score_disclosed,0.9333333333333333,1.0,-0.06666666666666665
p5-r3-score_disclosed,1.0,1.0,0.0
p5-r4-score_disclosed,1.0,1.0,0.0
p5-r5-score_disclosed,1.0,1.0,0.0
p5-r6-score_disclosed,0.9333333333333333,1.0,-0.06666666666666665
p5-r7-score_disclosed,1.0,1.0,0.0
p5-r8-score_disclosed,0.9333333333333333,1.0,-0.06666666666666665
p5-r9-score_disclosed,0.9333333333333333,1.0,-0.06666666666666665
p6-r1-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p6-r10-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p6-r2-score_disclosed,0.9333333333333333,1.0,-0.06666666666666665
p6-r3-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p6-r4-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p6-r5-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p6-r6-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p6-r7-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p6-r8-score_disclosed,0.9333333333333333,1.0,-0.06666666666666665
p6-r9-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p7-r1-score_disclosed,1.0,1.0,0.0
p7-r10-score_disclosed,1.0,1.0,0.0
p7-r2-score_disclosed,1.0,1.0,0.0
p7-r3-score_disclosed,1.0,1.0,0.0
p7-r4-score_disclosed,1.0,1.0,0.0
p7-r5-score_disclosed,1.0,1.0,0.0
p7-r6-score_disclosed,1.0,1.0,0.0
p7-r7-score_disclosed,1.0,1.0,0.0
p7-r8-score_disclosed,1.0,1.0,0.0
p7-r9-score_disclosed,1.0,1.0,0.0
p8-r1-score_disclosed,1.0,0.0,1.0
p8-r10-score_disclosed,1.0,1.0,0.0
p8-r2-score_disclosed,1.0,0.0,1.0
p8-r3-score_disclosed,1.0,0.0,1.0
p8-r4-score_disclosed,1.0,0.0,1.0
p8-r5-score_disclosed,1.0,0.0,1.0
p8-r6-score_disclosed,1.0,0.0,1.0
p8-r7-score_disclosed,1.0,1.0,0.0
p8-r8-score_disclosed,1.0,1.0,0.0
p8-r9-score_disclosed,1.0,0.0,1.0
p9-r1-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p9-r10-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p9-r2-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p9-r3-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p9-r4-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p9-r5-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p9-r6-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p9-r7-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p9-r8-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
p9-r9-score_disclosed,0.8666666666666667,1.0,-0.1333333333333333
